Extra options: []
Measured: 10 times

Total Average: 50.975500 msec
Total Max:     51.617000 msec
Total Min:     50.748000 msec

  AVERAGE       MAX       MIN
------------------------------
34.219100 34.414000 33.914000: /home/yoshimi/.config/nvim/init.lua
14.945400 15.201000 14.727000: require('options')
11.556700 11.737000 11.315000: require('lsp')
 5.789800  6.011000  5.376000: require('cmp')
 5.340500  5.563000  4.959000: require('cmp.core')
 4.053700  4.216000  4.010000: require('plugin')
 3.784300  4.064000  3.691000: require('quarto')
 3.550800  3.915000  3.369000: require('treesitter')
 3.519300  3.811000  3.433000: require('lspconfig.util')
 3.269800  3.567000  3.189000: require('vim.lsp')
 2.192200  2.223000  2.169000: /home/yoshimi/.local/share/nvim/plugged/vim-vsnip/plugin/vsnip.vim
 2.186900  2.255000  1.947000: require('quarto.runner')
 2.045600  2.110000  2.004000: reading ShaDa
 2.034200  2.103000  1.797000: require('otter.keeper')
 1.988700  2.290000  1.900000: require('nvim-treesitter.configs')
 1.971100  1.998000  1.953000: /home/yoshimi/.local/share/nvim/plugged/vim-vsnip/autoload/vsnip.vim
 1.866300  1.967000  1.779000: /home/yoshimi/.local/share/nvim/plugged/tokyonight.nvim/colors/tokyonight-moon.lua
 1.803300  1.821000  1.787000: /home/yoshimi/.local/share/nvim/plugged/vim-vsnip/autoload/vsnip/session.vim
 1.737600  2.027000  1.652000: require('nvim-treesitter.query')
 1.606600  1.678000  1.574000: loading rtp plugins
 1.427600  1.543000  1.277000: require('vim.treesitter')
 1.386700  1.661000  1.304000: require('nvim-treesitter.tsrange')
 1.364900  1.520000  1.325000: require('vim.lsp.util')
 1.295800  1.510000  1.231000: /home/yoshimi/.local/share/nvim/plugged/Comment.nvim/plugin/Comment.lua
 1.276700  1.325000  1.240000: require('cmp.view')
 1.267400  1.532000  1.180000: require('nvim-treesitter.ts_utils')
 1.182900  1.248000  0.825000: require('cmp.source')
 1.155900  1.219000  0.996000: require('cmp.utils.async')
 1.155100  1.263000  1.090000: require('vim.treesitter.languagetree')
 1.138600  1.326000  1.107000: require('Comment.api')
 1.092100  1.115000  1.079000: /home/yoshimi/.local/share/nvim/plugged/vim-visual-multi/plugin/visual-multi.vim
 1.003600  1.229000  0.940000: /home/yoshimi/.config/nvim/pack/github/start/copilot.vim/autoload/copilot.vim
 0.960900  1.020000  0.834000: require('cmp.config')
 0.958300  1.020000  0.632000: require('cmp.entry')
 0.922900  0.971000  0.882000: require('toggleterm')
 0.908900  1.152000  0.820000: require('nvim-treesitter.parsers')
 0.759600  0.850000  0.733000: /home/yoshimi/.local/share/nvim/site/autoload/plug.vim
 0.737900  0.754000  0.715000: loading after plugins
 0.730000  0.773000  0.697000: require('lualine')
 0.714600  0.792000  0.699000: require('nvim-treesitter.install')
 0.647500  0.694000  0.618000: require('mason')
 0.645600  0.807000  0.545000: /home/yoshimi/.local/share/nvim/plugged/nvim-treesitter/plugin/nvim-treesitter.lua
 0.639400  0.654000  0.625000: /home/linuxbrew/.linuxbrew/Cellar/neovim/0.10.1/share/nvim/runtime/plugin/matchit.vim
 0.620100  0.634000  0.614000: /home/yoshimi/.local/share/nvim/plugged/vim-vsnip/autoload/vsnip/snippet.vim
 0.605200  0.625000  0.576000: require('vim.treesitter.query')
 0.580700  0.593000  0.567000: require('cmp.utils.feedkeys')
 0.547100  0.569000  0.533000: require('mason-registry')
 0.493300  0.520000  0.477000: sourcing vimrc file(s)
 0.487700  0.548000  0.359000: require('toggleterm.config')
 0.484100  0.497000  0.461000: require('cmp.utils.keymap')
 0.475500  0.516000  0.450000: require('mason-core.platform')
 0.457200  0.623000  0.404000: require('vim.lsp.protocol')
 0.456000  0.502000  0.420000: /home/yoshimi/.local/share/nvim/plugged/cmp-buffer/after/plugin/cmp_buffer.lua
 0.450000  0.483000  0.407000: require('cmp.config.mapping')
 0.427200  0.476000  0.391000: require('cmp_buffer')
 0.412700  0.460000  0.215000: require('cmp.utils.snippet')
 0.410900  0.446000  0.396000: require('peek')
 0.408000  0.509000  0.344000: require('vim.lsp._changetracking')
 0.377100  0.400000  0.329000: require('vim.lsp.rpc')
